302,Queen Margot (La Reine Margot) (1994),,Drama|Romance,
303,Quick and the Dead,,,
304,Roommates (1995),,Comedy|Drama,
305,Ready to Wear (Pret-A-Porter) (1994),,Comedy,
306,Three Colors - Red (Trois couleurs Rouge) (1994),,Drama,
307,Three Colors -  Blue (Trois couleurs Bleu) (1993),,Drama,
308,Three Colors -  White (Trois couleurs Blanc) (1994),,Comedy|Drama,
309,Red Firecracker,,,
310,Rent-a-Kid (1995),,Comedy,
311,Relative Fear (1994),,Horror|Thriller,
312,Stuart Saves His Family (1995),,Comedy,
313,Swan Princess,,,
314,Secret of Roan Inish,,,
315,Specialist,,,
316,Stargate (1994),,Action|Adventure|Sci-Fi,
317,Santa Clause,,,
318,Shawshank Redemption,,,
319,Shallow Grave (1994),,Comedy|Drama|Thriller,
320,Suture (1993),,Film-Noir|Thriller,
321,Strawberry and Chocolate (Fresa y chocolate) (1993),,Drama,
322,Swimming with Sharks (1995),,Comedy|Drama,
324,Sum of Us,,,
325,National Lampoon's Senior Trip (1995),,Comedy,
326,To Live (Huozhe) (1994),,Drama,
327,Tank Girl (1995),,Action|Comedy|Musical|Sci-Fi,
328,Tales from the Crypt Presents, Demon Knight (1995),Horror|Thriller,Horror|Thriller
329,Star Trek, Generations (1994),Action|Adventure|Drama|Sci-Fi,Action|Adventure|Drama|Sci-Fi
330,Tales from the Hood (1995),,Action|Crime|Horror,
331,Tom & Viv (1994),,Drama,
332,Village of the Damned (1995),,Horror|Sci-Fi,
333,Tommy Boy (1995),,Comedy,
334,Vanya on 42nd Street (1994),,Drama,
335,Underneath (1995),,Mystery|Thriller,
336,Walking Dead,,,
337,What's Eating Gilbert Grape (1993),,Drama,
338,Virtuosity (1995),,Action|Sci-Fi|Thriller,
339,While You Were Sleeping (1995),,Comedy|Romance,
340,War,,,
341,Double Happiness (1994),,Drama,
342,Muriel's Wedding (1994),,Comedy,
343,Baby-Sitters Club,,,
344,Ace Ventura, Pet Detective (1994),Comedy,Comedy
345,Adventures of Priscilla,,,
346,Backbeat (1993),,Drama|Musical,
347,Bitter Moon (1992),,Drama|Film-Noir,
348,Bullets Over Broadway (1994),,Comedy,
349,Clear and Present Danger (1994),,Action|Adventure|Thriller,
350,Client,,,
351,Corrina,,,
352,Crooklyn (1994),,Comedy,
353,Crow,,,
354,Cobb (1994),,Drama,
355,Flintstones,,,
356,Forrest Gump (1994),,Comedy|Drama|Romance|War,
357,Four Weddings and a Funeral (1994),,Comedy|Romance,
358,Higher Learning (1995),,Drama,
359,I Like It Like That (1994),,Comedy|Drama|Romance,
360,I Love Trouble (1994),,Action|Comedy,
361,It Could Happen to You (1994),,Comedy|Drama|Romance,
362,Jungle Book,,,
363,Wonderful,,,
364,Lion King,,,
365,Little Buddha (1993),,Drama,
366,Wes Craven's New Nightmare (1994),,Fantasy|Horror,
367,Mask,,,
368,Maverick (1994),,Adventure|Comedy|Western,
369,Mrs. Parker and the Vicious Circle (1994),,Drama,
370,Naked Gun 33 1/3, The Final Insult (1994),Action|Comedy,Action|Comedy
371,Paper,,,
372,Reality Bites (1994),,Comedy|Drama|Romance,
373,Red Rock West (1992),,Thriller,
374,Richie Rich (1994),,Children|Comedy,
375,Safe Passage (1994),,Drama,
376,River Wild,,,
377,Speed (1994),,Action|Romance|Thriller,
378,Speechless (1994),,Comedy|Romance,
379,Timecop (1994),,Action|Sci-Fi|Thriller,
380,True Lies (1994),,Action|Adventure|Comedy|Romance|Thriller,
381,When a Man Loves a Woman (1994),,Drama,
382,Wolf (1994),,Drama|Horror|Romance|Thriller,
383,Wyatt Earp (1994),,Western,
384,Bad Company (1995),,Action|Crime|Drama,
385,Man of No Importance,,,
386,S.F.W. (1994),,Drama,
387,Low Down Dirty Shame,,,
388,Boys Life (1995),,Drama,
389,Colonel Chabert,,,
390,Faster Pussycat! Kill! Kill! (1965),,Action|Comedy|Crime|Drama,
391,Jason's Lyric (1994),,Crime|Drama,
392,Secret Adventures of Tom Thumb,,,
393,Street Fighter (1994),,Action|Adventure|Fantasy,
394,Coldblooded (1995),,Comedy,
395,Desert Winds (1995),,Drama|Fantasy|Romance,
396,Fall Time (1995),,Drama,
397,Fear,,,
398,Frank and Ollie (1995),,Documentary,
399,Girl in the Cadillac (1995),,Drama,
400,Homage (1995),,Drama,
401,Mirage (1995),,Action|Thriller,
402,Open Season (1996),,Comedy,
403,Two Crimes (Dos cr??menes) (1995),,Comedy|Crime|Drama,
404,Brother Minister, The Assassination of Malcolm X (1994),Documentary,Documentary
405,Highlander III - The Sorcerer (a.k.a. Highlander The Final Dimension) (1994),,Action|Sci-Fi,
406,Federal Hill (1994),,Drama,
407,In the Mouth of Madness (1995),,Horror|Thriller,
408,8 Seconds (1994),,Drama,
409,Above the Rim (1994),,Drama,
410,Addams Family Values (1993),,Comedy,
411,You So Crazy (1994),,Comedy,
412,Age of Innocence,,,
413,Airheads (1994),,Comedy,
414,Air Up There,,,
415,Another Stakeout (1993),,Comedy|Thriller,
416,Bad Girls (1994),,Western,
417,Barcelona (1994),,Comedy|Romance,
418,Being Human (1993),,Drama,
419,Beverly Hillbillies,,,
420,Beverly Hills Cop III (1994),,Action|Comedy|Crime|Thriller,
421,Black Beauty (1994),,Adventure|Children,
422,Blink (1994),,Thriller,
423,Blown Away (1994),,Action|Thriller,
424,Blue Chips (1994),,Drama,
425,Blue Sky (1994),,Drama|Romance,
426,Body Snatchers (1993),,Horror|Sci-Fi|Thriller,
427,Boxing Helena (1993),,Drama|Mystery|Romance|Thriller,
428,Bronx Tale,,,
429,Cabin Boy (1994),,Comedy,
430,Calendar Girl (1993),,Drama,
431,Carlito's Way (1993),,Crime|Drama,
432,City Slickers II, The Legend of Curly's Gold (1994),Adventure|Comedy|Western,Adventure|Comedy|Western
433,Clean Slate (1994),,Comedy,
434,Cliffhanger (1993),,Action|Adventure|Thriller,
435,Coneheads (1993),,Comedy|Sci-Fi,
436,Color of Night (1994),,Drama|Thriller,
437,Cops and Robbersons (1994),,Comedy,
438,Cowboy Way,,,
439,Dangerous Game (1993),,Drama,
440,Dave (1993),,Comedy|Romance,
441,Dazed and Confused (1993),,Comedy,
442,Demolition Man (1993),,Action|Adventure|Sci-Fi,
443,Endless Summer 2,,,
444,Even Cowgirls Get the Blues (1993),,Comedy|Romance,
445,Fatal Instinct (1993),,Comedy,
446,Farewell My Concubine (Ba wang bie ji) (1993),,Drama|Romance,
447,Favor,,,
448,Fearless (1993),,Drama,
449,Fear of a Black Hat (1994),,Comedy,
450,With Honors (1994),,Comedy|Drama,
451,Flesh and Bone (1993),,Drama|Mystery|Romance,
452,Widows' Peak (1994),,Drama,
453,For Love or Money (1993),,Comedy,
454,Firm,,,
455,Free Willy (1993),,Adventure|Children|Drama,
456,Fresh (1994),,Crime|Drama|Thriller,
457,Fugitive,,,
458,Geronimo, An American Legend (1993),Drama|Western,Drama|Western
459,Getaway,,,
460,Getting Even with Dad (1994),,Comedy,
461,Go Fish (1994),,Drama|Romance,
462,Good Man in Africa,,,
463,Guilty as Sin (1993),,Crime|Drama|Thriller,
464,Hard Target (1993),,Action|Adventure|Crime|Thriller,
465,Heaven & Earth (1993),,Action|Drama|War,
466,Hot Shots! Part Deux (1993),,Action|Comedy|War,
467,Live Nude Girls (1995),,Comedy,
468,Englishman Who Went Up a Hill But Came Down a Mountain,,,
469,House of the Spirits,,,
470,House Party 3 (1994),,Comedy,
471,Hudsucker Proxy,,,
472,I'll Do Anything (1994),,Comedy|Drama,
473,In the Army Now (1994),,Comedy|War,
474,In the Line of Fire (1993),,Action|Thriller,
475,In the Name of the Father (1993),,Drama,
476,Inkwell,,,
477,What's Love Got to Do with It? (1993),,Drama|Musical,
478,Jimmy Hollywood (1994),,Comedy|Crime|Drama,
479,Judgment Night (1993),,Action|Crime|Thriller,
480,Jurassic Park (1993),,Action|Adventure|Sci-Fi|Thriller,
481,Kalifornia (1993),,Drama|Thriller,
482,Killing Zoe (1994),,Action|Crime,
483,King of the Hill (1993),,Drama,
484,Lassie (1994),,Adventure|Children,
485,Last Action Hero (1993),,Action|Adventure|Comedy|Fantasy,
486,Life with Mikey (1993),,Comedy,
487,Lightning Jack (1994),,Comedy|Western,
488,M. Butterfly (1993),,Drama,
489,Made in America (1993),,Comedy,
490,Malice (1993),,Thriller,
491,Man Without a Face,,,
492,Manhattan Murder Mystery (1993),,Comedy|Mystery,
493,Menace II Society (1993),,Action|Crime|Drama,
494,Executive Decision (1996),,Action|Adventure|Thriller,
495,In the Realm of the Senses (Ai no corrida) (1976),,Drama,
496,What Happened Was... (1994),,Comedy|Drama|Romance,
497,Much Ado About Nothing (1993),,Comedy|Romance,
498,Mr. Jones (1993),,Drama|Romance,
499,Mr. Wonderful (1993),,Comedy|Romance,
500,Mrs. Doubtfire (1993),,Comedy|Drama,
501,Naked (1993),,Drama,
502,Next Karate Kid,,,
503,New Age,,,
504,No Escape (1994),,Action|Sci-Fi,
505,North (1994),,Comedy,
506,Orlando (1992),,Drama,
507,Perfect World,,,
508,Philadelphia (1993),,Drama,
509,Piano,,,
510,Poetic Justice (1993),,Drama,
511,Program,,,
512,Puppet Masters,,,
513,Radioland Murders (1994),,Comedy|Mystery|Romance,
514,Ref,,,
515,Remains of the Day,,,
516,Renaissance Man (1994),,Comedy|Drama,
517,Rising Sun (1993),,Action|Drama|Mystery,
518,Road to Wellville,,,
519,RoboCop 3 (1993),,Crime|Sci-Fi|Thriller,
520,Robin Hood, Men in Tights (1993),Comedy,Comedy
521,Romeo Is Bleeding (1993),,Crime|Thriller,
522,Romper Stomper (1992),,Action|Drama,
523,Ruby in Paradise (1993),,Drama,
524,Rudy (1993),,Drama,
525,Saint of Fort Washington,,,
526,Savage Nights (Nuits fauves,,,
527,Schindler's List (1993),,Drama|War,
528,Scout,,,
529,Searching for Bobby Fischer (1993),,Drama,
530,Second Best (1994),,Drama,
531,Secret Garden,,,
532,Serial Mom (1994),,Comedy|Crime|Horror,
533,Shadow,,,
534,Shadowlands (1993),,Drama|Romance,
535,Short Cuts (1993),,Drama,
536,Simple Twist of Fate,,,
537,Sirens (1994),,Drama,
538,Six Degrees of Separation (1993),,Drama,
539,Sleepless in Seattle (1993),,Comedy|Drama|Romance,
540,Sliver (1993),,Thriller,
541,Blade Runner (1982),,Adventure|Drama|Film-Noir|Sci-Fi|Thriller,
542,Son in Law (1993),,Comedy,
543,So I Married an Axe Murderer (1993),,Comedy|Romance|Thriller,
544,Striking Distance (1993),,Action|Crime,
545,Harem (1985),,Drama,
546,Super Mario Bros. (1993),,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,
547,Surviving the Game (1994),,Action|Adventure|Thriller,
548,Terminal Velocity (1994),,Action|Mystery|Thriller,
549,Thirty-Two Short Films About Glenn Gould (1993),,Drama|Musical,
550,Threesome (1994),,Comedy|Romance,
551,Nightmare Before Christmas,,,
552,Three Musketeers,,,
553,Tombstone (1993),,Action|Drama|Western,
554,Trial by Jury (1994),,Crime|Drama|Thriller,
555,True Romance (1993),,Action|Crime|Romance,
556,War Room,,,
558,Pagemaster,,,
559,Paris,,,
560,Beans of Egypt,,,
561,Killer (a.k.a. Bulletproof Heart) (1994),,Drama|Thriller,
562,Welcome to the Dollhouse (1995),,Comedy|Drama,
563,Germinal (1993),,Drama,
564,Chasers (1994),,Comedy,
565,Cronos (1993),,Action|Drama|Horror,
566,Naked in New York (1994),,Comedy|Romance,
567,Kika (1993),,Comedy|Drama,
568,Bhaji on the Beach (1993),,Comedy|Drama,
569,Little Big League (1994),,Comedy|Drama,
570,Slingshot,,,
571,Wedding Gift,,,
572,Foreign Student (1994),,Drama,
573,Ciao,,,
574,Spanking the Monkey (1994),,Comedy|Drama,
575,Little Rascals,,,
576,Fausto (1993),,Comedy,
577,Andre (1994),,Adventure|Children,
579,Escort,,,
580,Princess Caraboo (1994),,Drama,
581,Celluloid Closet,,,
582,M??tisse (Caf?? au Lait) (1993),,Comedy|Drama,
583,Dear Diary (Caro Diario) (1994),,Comedy|Drama,
584,I Don't Want to Talk About It (De eso no se habla) (1993),,Drama|Romance,
585,Brady Bunch Movie,,,
586,Home Alone (1990),,Children|Comedy,
587,Ghost (1990),,Comedy|Drama|Fantasy|Romance|Thriller,
588,Aladdin (1992),,Adventure|Animation|Children|Comedy|Musical,
589,Terminator 2, Judgment Day (1991),Action|Sci-Fi,Action|Sci-Fi
590,Dances with Wolves (1990),,Adventure|Drama|Western,
591,Tough and Deadly (1995),,Action|Drama|Thriller,
592,Batman (1989),,Action|Crime|Sci-Fi|Thriller,
593,Silence of the Lambs,,,
594,Snow White and the Seven Dwarfs (1937),,Animation|Children|Drama|Fantasy|Musical,
595,Beauty and the Beast (1991),,Animation|Children|Fantasy|Musical|Romance,
596,Pinocchio (1940),,Animation|Children|Fantasy|Musical,
597,Pretty Woman (1990),,Comedy|Romance,
598,Window to Paris (Okno v Parizh) (1994),,Comedy|Fantasy,
599,Wild Bunch,,,
600,Love and a .45 (1994),,Thriller,
601,Wooden Man's Bride,,,
602,Great Day in Harlem,,,
603,Bye Bye,,,
604,Criminals (1996),,Documentary,
605,One Fine Day (1996),,Drama|Romance,
606,Candyman, Farewell to the Flesh (1995),Fantasy|Horror,Fantasy|Horror
607,Century (1993),,Drama,
608,Fargo (1996),,Comedy|Crime|Drama|Thriller,
609,Homeward Bound II, Lost in San Francisco (1996),Adventure|Children,Adventure|Children
610,Heavy Metal (1981),,Action|Adventure|Animation|Horror|Sci-Fi,
611,Hellraiser, Bloodline (1996),Action|Horror|Sci-Fi,Action|Horror|Sci-Fi
612,Pallbearer,,,
613,Jane Eyre (1996),,Drama|Romance,
614,Loaded (1994),,Drama|Thriller,
615,Bread and Chocolate (Pane e cioccolata) (1973),,Comedy|Drama,
616,Aristocats,,,
617,Flower of My Secret,,,
618,Two Much (1995),,Comedy|Romance,
619,Ed (1996),,Comedy,
620,Scream of Stone (Cerro Torre, Schrei aus Stein) (1991),Drama,Drama
621,My Favorite Season (1993),,Drama,
623,Modern Affair,,,
